FONDBOLAG	FONDNUMMER	FONDNAMN	VALUTA	FONDAVGIFT	BRUTTO AVG	TKA	KATEGORI	EXTERID	FOND_I_FOND	RESULTATBEROENDE	SLOW	SPREAD	MILJÖETISK	FÖRLÄNGD	STARTDATUM	AVSLUTSDATUM	FONDSTATUS
																	
Aberdeen International Fund Managers Ltd	336115	Aberdeen Global - Asia Local Currency Short Duration Bond Fund	USD	0,38	1,31		Övriga utländska	LU0094548533	N	N	N	N		0	2006-05-09		1
Aberdeen International Fund Managers Ltd	776401	Aberdeen Global - Asian Smaller Companies Fund	USD	0,71	2,03	2,03	Asien och Fjärran östern	LU0231459107	N	N	N	N		0	2006-03-14	2010-12-03	5
Aberdeen International Fund Managers Ltd	812230	Aberdeen Global - China Equity Fund	USD	0,70	1,99	1,99	Kina	LU0231483743	N	N	N	N		0	2006-03-14	2010-12-03	5
Aberdeen International Fund Managers Ltd	371948	Aberdeen Global - Emerging Markets Equity Fund	USD	0,69	1,98	1,98	Nya marknader	LU0132412106	N	N	N	N		0	2006-05-09	2010-12-03	5
Aberdeen International Fund Managers Ltd	263806	Aberdeen Global - Emerging Markets Smaller Companies Fund	USD	0,75	2,17	2,17	Nya marknader	LU0278937759	N	N	N	N		0	2007-10-23	2010-12-03	5
Aberdeen International Fund Managers Ltd	865063	Aberdeen Global - European Equity (Ex UK) Fund	EUR	0,68	1,85		Europa	LU0231484808	N	N	N	N		0	2006-04-26		1
Aberdeen International Fund Managers Ltd	367698	Aberdeen Global - European Equity Fund	EUR	0,63	1,70		Europa	LU0094541447	N	N	N	N		0	2006-04-26		1
Aberdeen International Fund Managers Ltd	829234	Aberdeen Global - Fixed Interest Opportunities Fund	GBP	1,26	1,55	1,55	Övriga utländska	LU0231460618	N	N	N	N		0	2006-04-26	2007-07-18	5
Aberdeen International Fund Managers Ltd	757575	Aberdeen Global - Japanese Equity Fund	JPY	0,62	1,67		Japan	LU0011963674	N	N	N	N		0	2006-04-26		1
Aberdeen International Fund Managers Ltd	192146	Aberdeen Global - Japanese Smaller Companies Fund	JPY	0,63	1,68		Japan	LU0278936439	N	N	N	N		0	2007-10-23		1
Aberdeen International Fund Managers Ltd	407775	Aberdeen Global - North American Equity Fund	USD	0,64	1,73		Nordamerika och USA	LU0011963831	N	N	N	N		0	2006-05-09		1
Aberdeen International Fund Managers Ltd	721746	Aberdeen Global - Select Emerging Markets Bond Fund	USD	0,38	1,72		Övriga utländska	LU0132414144	N	N	N	N		0	2006-04-26		1
Aberdeen International Fund Managers Ltd	900894	Aberdeen Global - Select Euro High Yield Bond 	EUR	0,38	1,44		Europa och Euroland	LU0119176310	N	N	N	N		0	2006-04-26		1
Aberdeen International Fund Managers Ltd	479436	Aberdeen Global - Select Global Credit Bond Fund	GBP	0,38	1,23		Övriga utländska	LU0231465849	N	N	N	N		0	2006-05-09		1
Aberdeen International Fund Managers Ltd	551093	Aberdeen Global - Select Global Investment Grade Credit Bond Fund	GBP	0,38	1,23		Europa och Euroland	LU0231464446	N	N	N	N		0	2006-05-09		1
Aberdeen International Fund Managers Ltd	793406	Aberdeen Global - Select High Yield Bond Fund	GBP	0,38	1,58		Övriga utländska	LU0231461004	N	N	N	N		0	2006-04-26		8
Aberdeen International Fund Managers Ltd	112631	Aberdeen Global - Sterling Corporate Bond Fund	GBP	0,51	1,53	1,53	Europa och Euroland	LU0231463471	N	N	N	N		0	2006-05-02	2011-11-23	5
Aberdeen International Fund Managers Ltd	848069	Aberdeen Global - Technology Equity Fund	USD	0,71	1,95		IT och kommunikation	LU0107464264	N	N	N	N		0	2006-03-14		1
Aberdeen International Fund Managers Ltd	515262	Aberdeen Global - UK Equity Fund	GBP	0,64	1,73		Övriga länder	LU0011963757	N	N	N	N		0	2006-05-09		1
Aberdeen International Fund Managers Ltd	443606	Aberdeen Global - World Equity Fund	USD	0,61	1,70	1,70	Global	LU0094547139	N	N	N	N		0	2006-05-09	2010-12-03	5
Aberdeen International Fund Managers Ltd	883892	Aberdeen Global- India Equity Fund	USD	0,74	2,12	2,12	Asien och Fjärran östern	LU0231490524	N	N	N	N		0	2006-03-14	2010-12-03	5
Aberdeen International Fund Managers Ltd	517094	Aberdeen Global-Asia Pacific Equity Fund	USD	0,71	2,04	2,04	Asien och Fjärran östern	LU0011963245	N	N	N	N		0	2006-01-31	2010-12-03	5
Aberdeen International Fund Managers Ltd	227975	Closed Fund	USD	0,62	1,75		Asien och Fjärran östern	LU0278937163	N	N	N	N		0	2007-10-23	2013-06-03	5
Aberdeen International Management Ireland Limited	967125	Aberdeen International Asia Pacific Fund	USD		1,87		Asien och Fjärran östern	IE0004019489	N	N	N	N		0	2004-05-26	2006-04-18	5
Aberdeen International Management Ireland Limited	705988	Aberdeen International Asian Smaller Companies Fund	USD	1,53	1,90		Asien och Fjärran östern	IE0034372742	N	N	N	N		0	2004-10-14	2006-04-18	5
Aberdeen International Management Ireland Limited	102954	Aberdeen International China Opportunities Fund	USD	1,50	1,87		Asien och Fjärran östern	IE0004019711	N	N	N	N		0	2004-05-26	2006-04-18	5
