	Värdeutveckling i SEK (%)							Fondavgift (%)			Sharpe-	Noterings-		Svensk/				
Fondnamn	I år	3 mån.	6 mån.	12 mån.	36 mån.	60 mån.	Snitt 5 år	Netto	Brutto (TER)	Risk	kvot	valuta	Startdatum	Utländsk	Fondnummer	Förvaltare	Fondkategori	Etisk
BL - Bond Euro	2	2	-1	-1	14	17	3,2	0,3	0,74	4,5	0,9	EUR	2000	Utländsk	587634	Banque de Luxembourg S.A.	Europa och Euroland	
BL - Global Bond	2	2	0	-1	16	20	3,7	0,29	0,73	4,3	1,1	EUR	2000	Utländsk	515973	Banque de Luxembourg S.A.	Övriga utländska	
DNB Fund - Asian Small Cap	-10	-10	-9	-24	43	13	2,5	0,67	1,85	18,6	0,7	SEK	2001	Utländsk	362327	DNB Asset Management S.A.	Asien och Fjärran östern	
Handelsbanken Global Tema 	-6	-6	1	-9	43	55	9,2	0,35	1,49	11,9	1	SEK	2000	Svensk	123679	Handelsbanken Fonder AB	Global	
Ålandsbanken Euro Bond	2	2	-1	0	20	21	3,9	0,29	0,69	4	1,5	EUR	2010	Utländsk	203000	Ålandsbanken Fondbolag Ab	Europa och Euroland	
Ålandsbanken Euro High Yield	2	2	-1	1	25	25	4,5	0,39	1	5,2	1,4	EUR	2010	Utländsk	955435	Ålandsbanken Fondbolag Ab	Europa och Euroland	
Ålandsbanken Europe Value	-3	-3	0	-12	27	16	3	0,61	1,58	13,3	0,6	EUR	2010	Utländsk	238832	Ålandsbanken Fondbolag Ab	Europa	
Öhman Obligationsfond	2	2	1	0	9	21	3,9	0,11	0,13	2,1	1,2	SEK	2001	Svensk	330746	E. Öhman J:or Fonder AB	Sverige lång	
Spiltan Aktiefond Småland	-4	-4	12	10	85	108	15,8	0,55	1,55	15,2	1,4	SEK	2008	Svensk	272898	Spiltan Fonder AB	Sverige	
Spiltan Räntefond Sverige	0	0	0	0	6	12	2,4	0,1	0,1	0,6	3	SEK	2008	Svensk	972497	Spiltan Fonder AB	Sverige kort	
Länsförsäkringar Kort Ränta Företag	0	0	0	-1				0,13	0,3			SEK	2014	Svensk	838730	Länsförsäkringar Fondförvaltning AB (publ)	Sverige kort	Fonden tar miljö och/eller etisk hänsyn
Länsförsäkringar Företagsobligation Norden	-1	-1	-1	-3				0,21	0,8			SEK	2014	Svensk	874560	Länsförsäkringar Fondförvaltning AB (publ)	Övriga utländska	Fonden tar miljö och/eller etisk hänsyn
Handelsbanken Asienfond	-2	-2	3	-15	27	33	5,9	0,37	1,63	14,9	0,6	SEK	2014	Svensk	504100	Handelsbanken Fonder AB	Asien och Fjärran östern	
Inside USA	0	0	4	0	71			0,8	2	13,3	1,4	SEK	2012	Svensk	297689	Insiderfonder AB	Nordamerika och USA	
Invesco Emerging Market Quantitative Equity Fund	4	4	3	-19	-1	-3	-0,5	0,87	2,22	15,1	0	EUR	2012	Utländsk	533919	Invesco Management S.A	Nya marknader	
Inside Canada	8	8	6	-11	32			0,89	3,53	13,6	0,7	SEK	2012	Svensk	261859	Insiderfonder AB	Övriga länder	
BL - Emerging Markets	4	4	4	-8	16	41	7,1	0,5	1,29	9,9	0,5	EUR	2009	Utländsk	153833	Banque de Luxembourg S.A.	Utländska aktier och räntor	
BlackRock Global Funds -  European Value Fund	-6	-6	-4	-11	47	68	10,9	0,67	1,83	13	1	EUR	2004	Utländsk	696898	BlackRock (Channel Islands) Ltd	Europa	
BlackRock Global Funds -  Global Allocation Fund	-3	-3	-1	-10	34	46	7,8	0,57	1,78	10	1	USD	2004	Utländsk	302760	BlackRock (Channel Islands) Ltd	Utländska aktier och räntor	
BlackRock Global Funds -  China Fund	-6	-6	1	-17	45	37	6,5	0,67	1,84	21,3	0,7	USD	2009	Utländsk	391896	BlackRock (Channel Islands) Ltd	Kina	
BlackRock Global Funds -  Japan Small & MidCap Opportunities Fund	-5	-5	3	-7	38	73	11,6	0,67	1,84	16,4	0,7	USD	2004	Utländsk	159442	BlackRock (Channel Islands) Ltd	Japan	
BlackRock Global Funds -  US Small & MidCap Opportunities Fund	-7	-7	-3	-16	61	72	11,4	0,67	1,83	14,9	1,1	USD	2004	Utländsk	625236	BlackRock (Channel Islands) Ltd	Nordamerika och USA småbolag	
BlackRock Global Funds -  Global SmallCap Fund	-7	-7	-4	-17	39	56	9,3	0,67	1,85	14,4	0,8	USD	2004	Utländsk	195271	BlackRock (Channel Islands) Ltd	Global	
NN (L) Invest Greater China	-5	-5	4	-12	44	44	7,5	0,76	1,9	17	0,8	USD	2010	Utländsk	666370	NN Asset Management BV	Kina	
Alpcot Offensiv	-3	-3	-2					0,62	2,46			EUR	2015	Utländsk	555102	Kredietrust Luxembourg S.A	Utländska aktier och räntor	
Skandia Sverige	-7	-7	2	-5	41	44	7,5	0,44	1,4	12,9	0,9	SEK	2000	Svensk	690289	Skandia Fonder AB	Sverige	Fonden tar miljö och/eller etisk hänsyn
Evli Sverige Aktieindex	-4	-4	-2	-16				0,26	0,5			SEK	2013	Utländsk	610410	Evli Fondbolag Ab	Sverige index	
Axa Rosenberg US Enhanced Index Equity Alpha Fund	-2	-2	4	-7	68	115	16,5	0,4	0,86	13	1,4	USD	2015	Utländsk	352872	AXA Rosenberg Management Ireland Ltd	Nordamerika och USA	
Cicero Emerging Markets Index A	2	2	3	-17				0,37	0,82			SEK	2013	Svensk	543595	Cicero Fonder AB	Nya marknader	
Viking Fonder Sverige	1	1	1	-9				0,89	2,25			SEK	2015	Svensk	354704	Isec Services AB	Sverige	
Aktiv Europa	-9	-9	-4	-8	32	25	4,6	0,69	1,69	12,5	0,8	SEK	2007	Svensk	102897	Lundmark & Co Fondförvaltning AB	Europa	
Länsförsäkringar Europa Aktiv	-5	-5	-2	-11	39	43	7,4	0,36	1,54	12,1	0,9	SEK	2000	Svensk	492306	Länsförsäkringar Fondförvaltning AB (publ)	Europa	Fonden tar miljö och/eller etisk hänsyn
Länsförsäkringar Europa Index	-7	-7	-4	-14	34	40	6,9	0,16	0,22	13,2	0,8	SEK	2013	Svensk	479840	Länsförsäkringar Fondförvaltning AB (publ)	Europa/Euroland Index	Fonden tar miljö och/eller etisk hänsyn
UBS (Lux) Equity Fund - Japan (JPY)	-8	-8	1	-13	38	50	8,5	0,5	1,55	16,4	0,7	JPY	2015	Utländsk	938902	UBS Fund Management (Luxembourg) S.A	Japan	
Enter Småbolagsfond	-8	-8	12					0,68	1,65			SEK	2015	Svensk	589101	Enter Fonder AB	Sverige småbolag	Fonden tar miljö och/eller etisk hänsyn
Credit Suisse Bond Fund (Lux) Inflation Linked EUR Bond Fund	2	2	-1	-3	8	9	1,7	0,42	1,15	4,6	0,5	EUR	2004	Utländsk	808634	Credit Suisse Fund Management S.A.	Övriga utländska	
Öhman Global Sustainable Brands	-6	-6	2	-10	49	80	12,5	0,51	1,83	13,8	1	SEK	2000	Svensk	964767	E. Öhman J:or Fonder AB	Global	Fonden tar miljö och/eller etisk hänsyn
Öhman Etisk Emerging Markets 	1	1	3	-19	13			0,32	0,96	16,8	0,3	SEK	2012	Svensk	295857	E. Öhman J:or Fonder AB	Nya marknader	Fonden tar miljö och/eller etisk hänsyn
East Capital (Lux) - Emerging Asia Fund	-5	-5	2	-17	26	23	4,2	0,76	2,22	16,4	0,5	SEK	2013	Utländsk	178624	East Capital Asset Management S.A.	Asien och Fjärran östern	
Holberg Kredit SEK A	-4	-4	-6	-7				0,4	0,95			SEK	2014	Svensk	853903	Holberg Fondsforvaltning AS	Övriga utländska	
IKC Global Brand	-5	-5	0	-5	44			0,77	2,21	12,3	1	SEK	2011	Svensk	208439	IKC Fonder AB	Global	
IKC 0-50	-2	-2	-1	-4	6	8	1,5	0,55	2,32	5,2	0,4	SEK	2010	Svensk	590463	IKC Fonder AB	Utländska aktier och räntor	
IKC Sverige Flexibel	-5	-5	-1	1	50	52	8,8	0,55	1,65	12,2	1,2	SEK	2010	Svensk	626291	IKC Fonder AB	Svenska aktier och räntor	
Evli Short Corporate Bond	2	2	0	1	19	15	2,9	0,24	0,55	4,2	1,3	EUR	2001	Utländsk	621631	Evli Fondbolag Ab	Europa och Euroland	
Fidelity Funds - America Fund	-5	-5	2	-8	73	109	15,9	0,89	2,63	13	1,5	EUR	2012	Utländsk	866715	FIL Investment Management (Luxembourg) S.A.	Nordamerika och USA	
Evli Corporate Bond	2	2	1	-1	24	33	5,9	0,33	0,85	5,1	1,4	EUR	2000	Utländsk	390898	Evli Fondbolag Ab	Europa och Euroland	
Axa Rosenberg Europe Ex-UK Equity Alpha Fund	-6	-6	-4	-17	41	34	6	0,66	1,61	14,2	0,9	EUR	2000	Utländsk	222661	AXA Rosenberg Management Ireland Ltd	Europa	
Alfred Berg Obligasjon	4	4	0	-7	-2	8	1,6	0,26	0,6	7,5	-0,1	NOK	2001	Utländsk	111518	Alfred Berg Kapitalforvaltning AS	Övriga utländska	
Alfa Aktiv	8	8	6					0,89	2,3			SEK	2015	Svensk	205302	Alfakraft Fonder AB	Global	
Amundi Funds Equity Europe Concentrated	-8	-8	-5	-13	37	36	6,3	0,65	1,82	13,8	0,8	EUR	2011	Utländsk	707638	Amundi Luxembourg S.A. 	Europa	
Amundi Funds Equity Emerging Conservative	5	5	-1	-12				0,78	2,57			EUR	2014	Utländsk	819904	Amundi Luxembourg S.A. 	Nya marknader	
